GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco,com.xwj.jacoco.service,JacocoTest,0,9,0,0,0,2,0,2,0,2
jacoco,com.xwj,App,5,3,0,0,2,1,1,1,1,1
